seccional,direccion,localidad,direccion_limpia,direccion_completa_limpia,location,lat,lon
LA MATANZA Nº 09,MONSEÑOR MARCON 3219,SAN JUSTO,MONSEÑOR MARCON 3219,"MONSEÑOR MARCON 3219, SAN JUSTO, Argentina","3219, Monseñor José Marcón, San Justo, Partido de La Matanza, Buenos Aires, 1754, Argentina",-34.6801242,-58.5602678
LA MATANZA Nº 10,AVENIDA PRESIDENTE PERON 3254,SAN JUSTO,AVENIDA PRESIDENTE PERON 3254,"AVENIDA PRESIDENTE PERON 3254, SAN JUSTO, Argentina","3254, Avenida Presidente Juan Domingo Perón, San Justo, Partido de La Matanza, Buenos Aires, 1754, Argentina",-34.6768061,-58.5560029
LOMAS DE ZAMORA Nº 7,FELIX DE AZARA 344,LOMAS DE ZAMORA,FELIX DE AZARA 344,"FELIX DE AZARA 344, LOMAS DE ZAMORA, Argentina","344, Félix de Azara, Lomitas, Lomas de Zamora, Partido de Lomas de Zamora, Buenos Aires, B1832, Argentina",-34.7558884,-58.4046923
LA MATANZA Nº 03,MONSEÑOR MARCÓN 3240,SAN JUSTO,MONSEÑOR MARCÓN 3240,"MONSEÑOR MARCÓN 3240, SAN JUSTO, Argentina","3240, Monseñor José Marcón, San Justo, Partido de La Matanza, Buenos Aires, 1754, Argentina",-34.6801824,-58.5599691
LA MATANZA Nº 04,OCAMPO 3087,LA MATANZA,OCAMPO 3087,"OCAMPO 3087, LA MATANZA, Argentina","3087, General Ocampo, San Justo, Partido de La Matanza, Buenos Aires, 1754, Argentina",-34.6762259,-58.558825
LA MATANZA Nº 05,HIPOLITO YRIGOYEN 2217,LA MATANZA,HIPOLITO YRIGOYEN 2217,"HIPOLITO YRIGOYEN 2217, LA MATANZA, Argentina","2217, Hipólito Yrigoyen, San Justo, Partido de La Matanza, Buenos Aires, 1754, Argentina",-34.6764515,-58.5588077
MALVINAS ARGENTINAS Nº 3,25 DE MAYO 2589,LOS POLVORINES,25 DE MAYO 2589,"25 DE MAYO 2589, LOS POLVORINES, Argentina","25 de Mayo, Los Polvorines, Partido de Malvinas Argentinas, Buenos Aires, B1613, Argentina",-34.5088438,-58.7054313
LA MATANZA Nº 13,HIPOLITO YRIGOYEN 2569,SAN JUSTO,HIPOLITO YRIGOYEN 2569,"HIPOLITO YRIGOYEN 2569, SAN JUSTO, Argentina","2569, Hipólito Yrigoyen, San Justo, Partido de La Matanza, Buenos Aires, 1754, Argentina",-34.6787889,-58.5613964
ESTEBAN ECHEVERRIA Nº 3,ACUENAGA 285,ESTEBAN ECHEVERRIA,ACUENAGA 285,"ACUENAGA 285, ESTEBAN ECHEVERRIA, Argentina",,,
LA MATANZA Nº 07,ALMAFUERTE 3588,LA MATANZA,ALMAFUERTE 3588,"ALMAFUERTE 3588, LA MATANZA, Argentina","3588, Almafuerte, San Justo, Partido de La Matanza, Buenos Aires, 1754, Argentina",-34.6816488,-58.5546241
ADROGUE Nº 5,SOMELLERA 655,ADROGUE,SOMELLERA 655,"SOMELLERA 655, ADROGUE, Argentina","655, Somellera, Adrogué, Partido de Almirante Brown, Buenos Aires, B1846, Argentina",-34.7989387,-58.3927835
SAN VICENTE,LAVALLE 290,SAN VICENTE,LAVALLE 290,"LAVALLE 290, SAN VICENTE, Argentina","290, Lavalle, San Vicente, Partido de San Vicente, Buenos Aires, B1865, Argentina",-35.0293661,-58.4269232
MORENO Nº 4,ESPAÑA 676,MORENO,ESPAÑA 676,"ESPAÑA 676, MORENO, Argentina","Registro Automotor 4 - Moreno, 676, España, Rancho Grande, Moreno Centro Norte, Moreno, Partido de Moreno, Buenos Aires, B1744, Argentina",-34.6425423,-58.7873568
