tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2025-01-02,2013-07-03,1028,DOLORES,Buenos Aires,Protocolo 21,2013.0,30,FURGONETA,044,FIAT,591,FIORINO FIRE 1242 MPI 8V,1,Privado,Física,CASTELLI,BUENOS AIRES,Masculino,1982,ARGENTINA,100.0,6,200.0
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2025-01-02,2014-08-26,1310,LA PLATA Nº 17,Buenos Aires,Importado,2014.0,30,FURGONETA,104,PEUGEOT,564,EXPERT 1.6 HDI CONFORT,1,Privado,Física,LA PLATA,BUENOS AIRES,Masculino,1986,PERU,100.0,6,222.0
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2025-01-02,2014-08-01,1311,LA MATANZA Nº 14,Buenos Aires,Nacional,2014.0,17,SEDAN 5 PUERTAS,19,FORD,XH,FOCUS 5P 1.6L N MT S,1,Privado,Física,VIRREY DEL PINO,BUENOS AIRES,Masculino,1975,ARGENTINA,100.0,6,200.0
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2025-01-02,2010-02-23,1311,LA MATANZA Nº 14,Buenos Aires,Protocolo 21,2010.0,05,SEDAN 5 PTAS,027,CITROEN,187,C3 1.4 I SX,1,Privado,Física,VIRREY DEL PINO,BUENOS AIRES,No identificado,1990,ARGENTINA,100.0,6,200.0
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2025-01-02,2013-05-20,1316,JOSE C. PAZ Nº 3,Buenos Aires,Importado,2013.0,05,SEDAN 5 PTAS,011,AUDI,197,A5 SPORTBACK 2.0T FSI QUATTRO,1,Privado,Física,JOSE C. PAZ,BUENOS AIRES,Masculino,1994,ARGENTINA,100.0,6,200.0
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2025-01-02,2006-01-27,1319,LA MATANZA Nº 15,Buenos Aires,Protocolo 21,2006.0,05,SEDAN 5 PTAS,112,RENAULT,516,MEGANE SCENIC 1.9 DTI,1,Privado,Física,LOMAS DEL MIRADOR,BUENOS AIRES,Femenino,1983,ARGENTINA,100.0,6,200.0
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2025-01-02,2018-01-10,2036,CAPITAL FEDERAL Nº 036,Ciudad Autónoma de Buenos Aires,Protocolo 21,2018.0,05,SEDAN 5 PUERTAS,027,CITROEN,439,C3 VTI 115 AT6 SHINE AM18,1,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1980,COLOMBIA,100.0,2,205.0
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2025-01-02,2011-07-26,2008,CAPITAL FEDERAL Nº 008,Ciudad Autónoma de Buenos Aires,Nacional,2011.0,22,FURGON,34,PEUGEOT,KG,PARTNER CONFORT 1.6 HDI,1,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1978,URUGUAY,100.0,2,225.0
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2025-01-02,1994-05-05,2010,CAPITAL FEDERAL Nº 010,Ciudad Autónoma de Buenos Aires,Nacional,1994.0,12,SEDAN 4 PTAS,34,PEUGEOT,06,504 XSD TF,1,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1988,ARGENTINA,100.0,2,200.0
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2025-01-02,2017-08-09,2015,CAPITAL FEDERAL Nº 015,Ciudad Autónoma de Buenos Aires,Protocolo 21,2017.0,82,PICK-UP CABINA DOBLE,044,FIAT,844,TORO FREEDOM 2.0 16V 4X4,1,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1959,ARGENTINA,100.0,2,200.0
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2025-01-02,2010-03-03,2038,CAPITAL FEDERAL Nº 038,Ciudad Autónoma de Buenos Aires,Protocolo 21,2010.0,22,SEDAN 3 PTAS,044,FIAT,689,PALIO FIRE 1.4,1,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Femenino,1962,ARGENTINA,100.0,2,200.0
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2025-01-02,2017-06-23,2024,CAPITAL FEDERAL Nº 024,Ciudad Autónoma de Buenos Aires,Protocolo 21,2017.0,05,SEDAN 5 PUERTAS,024,CHEVROLET,616,ONIX 1.4 N LT,1,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Femenino,1995,ARGENTINA,100.0,2,200.0
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2025-01-02,2006-05-30,2039,CAPITAL FEDERAL Nº 039,Ciudad Autónoma de Buenos Aires,Protocolo 21,2006.0,17,CHASIS C/CAB. C/ CAJA PLAYA,092,MERCEDES BENZ,168,OF1722,1,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Femenino,1967,ARGENTINA,100.0,2,200.0
COMUNICACIÓN DE RECUPERO,2025-01-02,2017-04-19,2043,CAPITAL FEDERAL Nº 043,Ciudad Autónoma de Buenos Aires,Nacional,2017.0,17,SEDAN 5 PUERTAS,80,HONDA,10,HR-V LX CVT,1,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Femenino,1998,ARGENTINA,100.0,2,200.0
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2025-01-02,2005-02-16,2043,CAPITAL FEDERAL Nº 043,Ciudad Autónoma de Buenos Aires,Protocolo 21,2005.0,05,SEDAN 5 PTAS,136,VOLKSWAGEN,283,GOL 1.9 SD,1,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1967,ARGENTINA,100.0,2,200.0
