"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-07-04","1992-01-02",21053,"SAN LORENZO Nº 3","Santa Fe","Nacional","1992","","BERLINA 5 PTAS.","37","RENAULT","20","11 TS","1","Privado","Física","CAPITÁN BERMÚDEZ","SANTA FE","Masculino","1999","ARGENTINA",100,"82","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-07-10","1995-01-11",18006,"SAN JUAN Nº 6","San Juan","Importado","1995","","SEDAN","","PEUGEOT","","205 GTI","1","Privado","Física","LAS FLORES","SAN JUAN","Masculino","1988","ARGENTINA",100,"70","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-07-04","2000-01-19",21043,"ROSARIO Nº 08","Santa Fe","Nacional","2000","","3PTAS","08","CHEVROLET","77","CORSA 3 DOOR WIND 1.6 MPFI","1","Privado","Física","ROSARIO","SANTA FE","Femenino","1995","ARGENTINA",100,"82","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-07-31","2000-10-09",13011,"MENDOZA Nº 05","Mendoza","Nacional","2000","","SEDAN 4 PTAS","37","RENAULT","EC","KANGOO RL DIE DA ABCP","1","Privado","Física","GODOY CRUZ","MENDOZA","Masculino","1963","ARGENTINA",100,"50","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-07-24","2011-01-04",21073,"VILLA GOBERNADOR GÁLVEZ","Santa Fe","Nacional","2011","","FURGON 800","34","PEUGEOT","KG","PARTNER CONFORT 1.6 HDI","1","Privado","Física","VILLA GDOR GALVEZ","SANTA FE","Femenino","1984","ARGENTINA",100,"82","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-07-12","1994-07-22",19002,"QUINES","San Luis","Nacional","1994","","BERLINA 5 PTAS","37","RENAULT","90","19 RN BIC.","1","Privado","Física","LEANDRO N ALEM","SAN LUIS","Masculino","1981","ARGENTINA",100,"74","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-07-27","1987-09-15",8022,"CONCEPCION DEL URUGUAY Nº 2","Entre Ríos","Nacional","1987","","BERLINA 5 PUERTAS","37","RENAULT","20","RENAULT 11 TS","1","Privado","Física","C.DEL URUGUAY","ENTRE RIOS","Masculino","1983","ARGENTINA",100,"30","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-07-05","1999-03-29",13015,"MENDOZA Nº 09","Mendoza","Nacional","1999","","BERLINA 3 PTAS","37","RENAULT","DV","CLIO RN 3P DIE PACK AA DA","1","Privado","Física","4ºSECCION AREA FUNDACIONAL","MENDOZA","Masculino","1986","ARGENTINA",100,"50","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-07-17","1999-08-11",4075,"CORDOBA Nº 22","Córdoba","Nacional","1999","","SEDAN","08","CHEVROLET","52","CORSA 4 PUERTAS GL A/A Y D/P","1","Privado","Física","CORDOBA","CORDOBA","Masculino","1965","ARGENTINA",100,"14","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-07-19","1999-12-02",4056,"CORDOBA Nº 15","Córdoba","Nacional","1999","","SEDAN","08","CHEVROLET","57","CORSA 4 PTAS WIND 1.6 LTS","1","Privado","Física","CORDOBA","CORDOBA","Masculino","1976","ARGENTINA",100,"14","ARG"
